Word,Translation,OriginalWord,Transcription
επίσης,aussi,,
ο συνάδελφος,le collègue,,
παντρεμένος - παντρεμένη,marié - mariée,,
η ανάλυση δεδομένων,analyse des données,,
και έτσι,et donc,,
μικρότερη,plus petit(e),,
το πανεπιστήμιο,Université,,
οι συνάδελφοι,collègues,,
δύο χρόνια μεγαλύτερη,De deux ans plus âgée,,
πήγα διακοπές,je suis partie en vacances,,
ενδιαφέρων,intéressant,,
εκτός από αθλήματα,sauf pour les sports,,
ο αθλητισμός,le sport (en général),,
τα δεδομένα,les données,,
παραδοσιακό,traditionnel,,
περισσότεραοι,plus (in terms of quantity),,
τα ανίψια,les neveux et nièces,,
σπάνιο,rare,,
η πολυκατοικία,l’immeuble,,
ο αθλητισμός,le sport (en général),,
σπουδάζω,étudier,,
η τιμή - οι τιμές,prix - les prix,,
φιλοξενώ,accueillir,,
η φύση,la nature,,
είτε,soit,,
και επιπλέον,Mais aussi,,
Θα τα πούμε την επόμενη εβδομάδα,A la semaine prochaine,,
μια ομάδα,une équipe,,
το πλήθος,La foule,,
το άθλημα / τα αθλήματα,le sport (un sport precis),,
το στάδιο,stade,,
επιπλέον,De plus,,
με ενοίκιο,en location,,
μια λεωφόρος,Une avenue,,
το διάβασμα,la lecture,,
ένα λεωφορείο,bus,,
νοικιάζω,Loue (a moi ou a un proprio)r,,
η τοποθεσία,emplacement,,
νοικιάζεται,(rented/ for rent) être à loué,,
να περάσεις καλά!,Amuse toi bien!,,
Η Στιγμή,l’instant / le moment (spécifique),,
εξαρτάται,ça dépend,,
Ο Χρόνος,le temps (durée,,
ο υγιεινός τρόπος ζωής,mode de vie sain,,
στην αρχή / v,au début / initialement,,
Θυμάμαι,Se souvenir de,,
καλύτερα από,mieux que (adv),,
Η Περίοδος,la période / la phase,,
το χιλιόμετρο,kilomètres,,
Φοβάμαι,Avoir peur de,,
Η Εποχή,l’époque / la saison,,
Λυπάμαι,Etre desole (pour),,
τα γενέθλια,l'anniversaire,,
κατοικώ,Habiter / resider (formel),,
Το δυάρι/τριάρι,F2/F3 (appartement),,
Στρίβω,je tourne (à droite),,
τα λεφτά,fric/thunes,,
η διάβαση,passage piéton,,
Κανένα πρόβλημα,pas de problème,,
Ο όροφος,l'étage,,
επίσης,επιπλέον,,
καλύτερα,mieux,,
το στενό,la rue étroite,,
προχωράω,J'avance,,
το ισόγειο,rez-de-chaussée,,
η γενική,le génitif,,
η κατοικία,la résidence,,
καλώ - κάλεσα,appeler - j'ai appelé,,
Σωστό η λάθος,vrai ou faux,,
Η αγγελία,l'annonce,,
Συνήθως,Généralement / usually,,
είμαι κρυωμένος,j'ai un rhume,,
στο Λονδίνο,à Londres,,
έχω άδικο,j'ai tort,,
δεν είναι συνηθισμένο,ce n'est pas courant,,
το προηγούμενο,le précédent,,
κρυώνω,j'ai froid,,
την επόμενη,la prochaine X,,
μια υποδοχή,une reception,,
προβλέψω,prédire,,
άνετο,confortable,,
το φανάρι,le feu rouge,,
ενας χωρος,un espance,,
έχει πιο πολύ κρύο,il fait plus froid,,
ακόμα και,même,,
το ταχυδρομείο,le bureau de poste,,
έχω δίκιο,j'ai raison,,
η θέρμανση,le chauffage,,
ο Άγγλος,l'Anglais,,
προχωρώ,avancer,,
η πρωτεύουσα,la capitale,,
οτιδήποτe,Peu importe,,
άνετα,Confortablement,,
ο πάγος,La glace,,
παλιό,Ancien/vieux,,
πλυντήριο ρούχων,Lave-linge,,
φούρνος μικροκυμάτων,Micro-ondes,,
η σκέπη,le toit,,
η αγγλική ομάδα ράγκμπι,L’équipe anglaise de rugby,,
δυστυχώς,Malheureusement,,
βαρετό,Ennuyeux,,
Δεν κατάφερα να τα κάνω όλα,Je n’ai pas réussi à tout faire,,
το βρήκα αστείο,J’ai trouvé ça drôle,,
συνηθισμένο,Habituel,,
κάνει κρύο,Il fait froid,,
εντυπωσιακό,Impressionnant,,
περιγράφω,Décrire,,
χιόνισε,Il a neigé,,
η ταράτσα,la terrasse,,
κατά τη διάρκεια του χειμώνα,Pendant l’hiver,,
φούρνος μικροκυμάτων,Micro-ondes,,
η βαλίτσα,la valise,,
ταξιδεύω,voyager,,
το τραίνο,le train,,
οι αποσκευές,les bagages,,
το πλοίο,le navire,,
το καύσιμο,le carburant,,
η βάρκα,le bateau,,
το λεωφορείο,le bus,,
το αυτοκίνητο,la voiture,,
το ταξίδι,le voyage,,
ο επιβάτης,le passager,,
το μετρό,le métro,,
ο τουρίστας,le touriste,,
το διαβατήριο,le passeport,,
ο χάρτης,la carte,,
το αεροπλάνο,l'avion,,
η αναχώρηση,le départ,,
η γέφυρα,le pont,,
η κίνηση,la circulation,,
τα διόδια,le péage,,
η περιπέτεια,l'aventure,,
το κράνος,le casque,,
η στάση,l'arrêt,,
η/ο αεροσυνοδός,l'hôtesse de l'air,,
το πεζοδρόμιο,le trottoir,,
το τιμόνι,le volant,,
οδηγώ,conduire,,
το εκδοτήριο,le guichet,,
το όχημα,le véhicule,,
το αμάξι,la voiture,,
το εισιτήριο,le billet,,
διεθνής,international(e),,
το φανάρι,le feu de circulation,,
σίγουρος,certain,,
μετανίωνω,regretter,,
κλαίω,pleurer,,
μισώ,haïr,,
η τύψεις,le remords,,
ο μίσος,la haine,,
η απογοήτευση,la déception,,
η οργή,la rage,,
ζηλεύω,envier,,
ανασφαλής,insécure,,
αντιπαθώ,ne pas aimer,,
ο άγχος,le stress,,
μου λείπεις,Tu me manques,,
αγχωμένος,stressé,,
συμπαθώ,aimer (les gens),,
η λύπη,la tristesse,,
γελώ,rire,,
η χαρά,la joie,,
φοβισμένος,effrayé,,
θλιμμένος,triste,,
η ενοχή,La culpabilité,,
χαίρομαι,être heureux,,
χαρούμενος,joyeux,,
λυπάμαι,etre désolé,,
ερωτεύομαι,être amoureux,,
πρίν από μια εβδομάδα,il y a une semaine,,
δύο χιλιάδες δέκα,deux mille dix,,
φέτος,cette année,,
πέρσι,l'année dernière,,
περασμένη,passé,,
φτάνω,έφτασα,,
χωρισμένος,séparé,,
απασχολημένος,occupé,,
η ρύπανση,la pollution,,
Περνά μια ώρα,Ça prend une heure,,
Επιστρέφω,retourner,,
η επιστροφή,le retour,,
Μπορούσα,je pouvais,,
το αγαπημένο μου,mon préféré(e),,
από την άλλη,d'un autre côté,,
επισκεφτώ,rendre visite,,
μετακομίζω,déménager,,
ο μήνας / οι μήνες,le mois,,
οργανώσω,organiser,,
αγχώδης,anxieux/anxieuse,,
οχτώ,huit,,
περνάω,passer,,
το μάθημα,la leçon,,
η εξέταση,l'examen,,
Καλώς ήρθατε!,Bienvenue!,,
στις αρχές Δεκεμβρίου,au début de décembre,,
ένα σύντομο ταξίδι,un court voyage,,
έμεινα,je suis resté(e),,
πρωί πρωί,très tôt le matin,,
Πώς περάσεις;,Comment c'était?,,
το κείμενο,le texte,,
καταπληκτικά,très bien/magnifiquement,,
Ξυπνάω / ξύπνησα,se réveiller,,
Αργώ / άργησα,être en retard,,
Διψάω / διψούσα,avoir soif,,
Πεινάω / πείνασα,avoir faim,,
ξεχνώ / ξέχασα,oublier,,
Υποστηρίζω,soutenir,,
Υπόσχομαι,promettre,,
ο θυμός,la colère,,
Εγγράφω,s'enregistrer,,
Πιωμένος,ivre,,
ο προορισμός,la destination,,
Αρρώστησα,je suis tombé malade,,
Τι είδος;,quel genre de?,,
Ευνοούμενος,favori,,
Ήρεμος,calme,,
Το περίπτερο,le kiosk,,
Ανάβω ένα τσιγάρο,allumer une cigarette,,
Όμως,cependant,,
τα ψώνια,les courses,,
Ψωνίσω,faire les courses,,
οι δουλίτσες,les travaux,,
Χιλιάδες,des milliers,,
η Μαδρίτη,Madrid,,
τα ακουστικά,les écouteurs,,
την προηγούμενη εβδομάδα,la semaine dernière,,
ακριβώς,exactement,,
Αναγκασμενος,forcé,,
Το Αντικειμενο,l’objet,,
Εξαφανισμένο,disparu,,
Διψαω / διψασα,j’ai / j’avais soif,,
Πειναω / πεινασα,j’ai / j’avais faim,,
παω βολτα,aller se promener,,
Μαθαίνω / έμαθα,apprendre,,
Ενοχλητικό,chiant,,
αυτο μοιάζει με αυτο,ca ressemble a ca,,
το ρήμα,le verbe,,
Για παράδειγμα,par exemple,,
Μην ανησυχείς,ne t’inquiete pas,,
Παρατηρώ / παρατήρησα,J'observe/ j'ai remarqué,,
μια εφαρμογή,une app,,
O δάσκαλος,le professeur,,
εδώ και τρεις μήνες,depuis trois mois,,
Διαδικτυακά,en ligne,,
Βολικό,pratique,,
μια πρόταση,une phrase,,
Εξασκω,pratiquer,,
Επομένως,donc,,
η Ιαπωνία,le Japon,,
κυρίως,principalement,,
το άθλημα,le sport,,
το σταφύλι,le raisin,,
μετά,après,,
ευτυχώς,heureusement,,
κάνω / έκανα,faire / j'ai fait,,
γυρίζω / γύρισα,rentrer / je suis rentré(e),,
μιλάω / μίλησα,parler / j'ai parlé,,
παίζω / έπαιξα,jouer / j'ai joué,,
πήγα για ύπνο,aller / je suis allé(e) dormir,,
ο ύπνος,le sommeil,,
Τα γυαλια,les lunettes,,
Απασχολημενος,busy / occupé,,
κοστίζει μια περιουσία,ça coûte une fortune,,
μια ταινία,Un film,,
Η εξάσκηση,La pratique,,
Το ποτό,la boisson,,
Η αλήθεια,la vérité,,
Η υγεία,la santé,,
Η ασφάλεια,la sécurité,,
Η συναυλία,le concert,,
Το συγκρότημα,le groupe,,
Ο λόφος,la colline,,
Το μπουφάν,le buffet,,
Το δόντι,la dent,,
κουραστικός,fatigant,,
γεννιέμαι / γεννήθηκα,naître,,
μεγαλώνω / μεγάλωσα,grandir,,
συμμετέχω / συμμετείχα,participer,,
συναντώ / συνάντησα,rencontrer,,
μένω / έμεινα,rester,,
κινδυνεύω / κινδύνεψα,être en danger,,
φιλοξενώ / φιλοξένησα,accueillir,,
ανυπομονώ / ανυπόμονα,être impatient,,
Έχω κίνητρο,je suis motivé,,
Γεννήθηκα,je suis né,,
Πεθαίνω / πέθανα,mourir,,
το Ζαχαροπλαστείο,pâtisserie,,
Η ουρα,la queue,,
Το ατυχημα,accident,,
Στην υγεια σου,A ta santé,,
Καθώς,pendant que,,
κατά τη διάρκεια του πολέμου,pendant la guerre,,
ένα εργοστάσιο,une usine,,
μια νοσοκόμα,une infirmière,,
ένα νοσοκομείο,un hopital,,
έχει ακόμη και δισέγγονα,il a même des arrières petits enfants,,
η επιτυχία,le succès,,
η αποτυχία,l'échec,,
Διαδικτυακά,en ligne,,
Αρρώστησα,je suis tombé malade,,
το αποτέλεσμα,le résultat,,
η επιτυχία,le succès,,
η αποτυχία,l'échec,,
η ευχή,le souhait,,
η ελπίδα,l'espoir,,
η ευγένεια,la courtoisie,,
η φαντασία,l'imagination,,
η επιλογή,le choix,,
η ένωση,l'union,,
η ευκαιρία,l'opportunité,,
η αλλαγή,le changement,,
η απόδειξη,la preuve,,
η δραστηριότητα,l'activité,,
η παραγωγή,la production,,
η διανομή,la distribution,,
η εισαγωγή,l’introduction,,
η κατασκευή,la construction,,
η είσοδος,l'entrée,,
η προστασία,la protection,,
η ξεκούραση,le repos,,
το καθήκον,la responsabilité,,
κατηγορώ,κατηγόρησα,,
το υποκείμενο,le sujet,,
η κατηγορία,l’accusation,,
η θέα,la vue,,
η έννοια,le concept,,
η άγνοια,l'ignorance,,
το ύπαρξη,l'existence,,
η πλευρά,le côté,,
η άκρη,le bord,,
το σκοτάδι,l'obscurité,,
το βραβείο,la récompense,,
το μέλος,le membre,,
η λύση,la solution,,
ο καλλωπισμός,l'embellissement,,
το κούρεμα,la coupe de cheveux,,
το λάθος,l'erreur,,
τα νέα,les nouvelles,,
ο τρόπος,la manière,,
η γη,la terre,,
η θάλασσα,la mer,,
το φεγγάρι,la lune,,
η φωτιά,le feu,,
ο κόσμος,le monde,,
το δέντρο,l'arbre,,
το ποτάμι,la rivière,,
το λουλούδι,la fleur,,
ο καρπός,le fruit,,
το φύλλο,la feuille,,
η τροφή,la nourriture,,
η βροχή,la pluie,,
το χιόνι,la neige,,
το φως,la lumière,,
το σκοτάδι,l'obscurité,,
η ζέστη,la chaleur,,
το κρύο,le froid,,
η φωνή,la voix,,
η σκέψη,la pensée,,
η γλώσσα,la langue,,
ο τόπος,le lieu,,
ο τρόπος,la manière,,
το σώμα,le corps,,
η ψυχή,l'âme,,
η καρδιά,le cœur,,
το μυαλό,l'esprit,,
βαρετός,ennuyeux,,
το δημοτικό,l'école primaire,,
η σχολή,la faculté,,
το νηπιαγωγείο,la maternelle,,
το λύκειο,le lycée,,
το γυμνάσιο,le collège,,
η τάξη,la classe,,
εξετάζω,examiner,,
το έγγραφο,le document,,
